RAND DIM:	COND AVG:	COND MAX:	||A - PLTL^tP^t|| AVG	||A - PLTL^tP^t|| MAX	dx/x[float128]AVG	dx/x[float128]MAX	db/b[float128]AVG	db/b[float128]MAX
43	620689.316596	5827102.15645	3.72914268059e-17	4.19846186828e-17	1.85616023698e-12	1.85616023698e-12	1.96920309736e-16	1.96920309736e-16
44	1584810.51994	9034565.56113	3.91999916606e-17	4.52527831435e-17	1.91520284512e-11	1.91520284512e-11	1.93803320717e-16	1.93803320717e-16
45	337371.024474	2461282.07857	4.11282082331e-17	4.48337242502e-17	3.75742765935e-12	3.75742765935e-12	2.16149097369e-16	2.16149097369e-16
46	96398.6780335	472645.666734	4.40141283078e-17	4.71282462715e-17	4.44015177355e-13	4.44015177355e-13	2.07596960687e-16	2.07596960687e-16
47	159856.27969	1058980.18302	4.76992932413e-17	5.31983401883e-17	1.77108944999e-12	1.77108944999e-12	2.03115506989e-16	2.03115506989e-16
48	496533.417943	3071589.98761	4.59113372939e-17	4.98703923169e-17	2.29896363039e-12	2.29896363039e-12	2.11346402356e-16	2.11346402356e-16
49	112933.363497	712766.171773	4.90102421365e-17	5.42818328186e-17	1.12174735934e-12	1.12174735934e-12	2.01061481512e-16	2.01061481512e-16
50	1404099.93309	10623399.3425	5.09288046595e-17	5.47351187823e-17	1.94650201803e-11	1.94650201803e-11	1.79221232064e-16	1.79221232064e-16
51	359938.218302	3299723.25063	5.13350552745e-17	5.42958317318e-17	6.21372367695e-12	6.21372367695e-12	2.0697911361e-16	2.0697911361e-16
52	66949.5362849	168073.8273	5.47033236444e-17	5.86826554226e-17	4.51931902096e-13	4.51931902096e-13	2.21921166184e-16	2.21921166184e-16
53	361504.22071	3246739.0942	5.70574712091e-17	6.58049134987e-17	3.2358339868e-13	3.2358339868e-13	2.07816678777e-16	2.07816678777e-16
54	196925.600127	1252070.79516	5.84120844069e-17	6.34911272262e-17	4.70541637848e-13	4.70541637848e-13	2.13102504847e-16	2.13102504847e-16
55	68116.6405141	258127.502146	6.02337347676e-17	6.39158431586e-17	5.97557269888e-13	5.97557269888e-13	2.09738807941e-16	2.09738807941e-16
56	52764.6437733	318722.883826	6.47156371204e-17	7.10232582687e-17	6.21219452959e-13	6.21219452959e-13	2.3621533343e-16	2.3621533343e-16
57	144521.891259	458081.45331	6.86630534899e-17	7.40616469953e-17	6.88754600945e-13	6.88754600945e-13	2.23883136698e-16	2.23883136698e-16
58	174811.169221	814936.580613	6.8772775753e-17	7.34549562963e-17	1.65005794633e-12	1.65005794633e-12	2.16676535776e-16	2.16676535776e-16
59	44906.5864043	355387.353451	7.06595725302e-17	7.77017831533e-17	1.3519953765e-13	1.3519953765e-13	2.24539201443e-16	2.24539201443e-16
60	580399.396025	2836229.42657	7.26703804503e-17	7.98954603563e-17	4.02219625956e-12	4.02219625956e-12	2.38659724406e-16	2.38659724406e-16
61	50128.2332795	225186.448522	7.54300413574e-17	8.32961451538e-17	3.57749852511e-13	3.57749852511e-13	2.22028891975e-16	2.22028891975e-16
62	165209.84913	690763.312358	7.86313783534e-17	8.33253437387e-17	1.21411509053e-12	1.21411509053e-12	2.20767960054e-16	2.20767960054e-16
63	4098311.36755	35926124.5125	8.18097135398e-17	8.89099974401e-17	3.22591229125e-11	3.22591229125e-11	2.22708360421e-16	2.22708360421e-16
64	605816.203143	5367350.85633	8.54112317833e-17	9.44697412243e-17	6.70628368476e-12	6.70628368476e-12	2.16653588587e-16	2.16653588587e-16
65	164936.04076	1126919.40457	8.66369402358e-17	9.03352300672e-17	1.45069670474e-12	1.45069670474e-12	2.55960259426e-16	2.55960259426e-16
66	8373360.05827	82086504.8056	9.07450422029e-17	9.61358724488e-17	6.32778577188e-11	6.32778577188e-11	2.80948977128e-16	2.80948977128e-16
67	239852.867405	1110931.23264	9.08575371846e-17	9.41429964305e-17	6.8860838748e-13	6.8860838748e-13	2.66488250305e-16	2.66488250305e-16
68	79353.1571477	425419.18914	9.3942505319e-17	1.01956676924e-16	5.35913246286e-13	5.35913246286e-13	2.70084951694e-16	2.70084951694e-16
69	293070.146544	2184622.2425	9.45258494403e-17	9.73778015142e-17	7.17006487271e-13	7.17006487271e-13	2.59975802054e-16	2.59975802054e-16
70	12500845.9061	114938309.894	1.02874696099e-16	1.08041514043e-16	2.46781000717e-11	2.46781000717e-11	2.81001897614e-16	2.81001897614e-16
71	105005.11459	663898.376214	1.05982379635e-16	1.12042300977e-16	6.78517510797e-13	6.78517510797e-13	2.62480366489e-16	2.62480366489e-16
72	87768422.7882	869088007.139	1.08620579556e-16	1.18948099645e-16	5.59004316248e-10	5.59004316248e-10	2.68739495836e-16	2.68739495836e-16
73	4005176.99789	33820373.2259	1.09177201686e-16	1.14872125965e-16	1.84886821892e-11	1.84886821892e-11	2.63110911467e-16	2.63110911467e-16
74	11514778.6021	98611511.7086	1.15669565753e-16	1.24430604405e-16	9.8332977186e-11	9.8332977186e-11	2.71015237957e-16	2.71015237957e-16
75	373702.695113	2710769.92408	1.20163271794e-16	1.26408975264e-16	1.65287518504e-12	1.65287518504e-12	2.47687678786e-16	2.47687678786e-16
76	3580656.8384	34641997.0977	1.17994137149e-16	1.23355368884e-16	3.87563670962e-11	3.87563670962e-11	2.46326151126e-16	2.46326151126e-16
77	165298.119415	775212.321648	1.27985290675e-16	1.34080306715e-16	4.98355834485e-13	4.98355834485e-13	2.59373185328e-16	2.59373185328e-16
78	409249.812839	3430794.79888	1.24587248979e-16	1.30686540817e-16	2.0586300469e-12	2.0586300469e-12	2.45883983552e-16	2.45883983552e-16
79	6209315.54206	56470849.1053	1.28994008012e-16	1.36226664685e-16	4.3467779084e-11	4.3467779084e-11	2.53624037625e-16	2.53624037625e-16
80	142099.248465	463322.766181	1.31150605706e-16	1.41661364245e-16	7.85296096188e-13	7.85296096188e-13	2.60100383415e-16	2.60100383415e-16
81	836914.455542	6361779.98843	1.3199149135e-16	1.36367249574e-16	1.97308837477e-12	1.97308837477e-12	2.61033018712e-16	2.61033018712e-16
82	228949.804161	1374359.88754	1.39726701579e-16	1.50925908607e-16	1.53924404822e-12	1.53924404822e-12	2.32695246923e-16	2.32695246923e-16
83	106947.566597	262294.322615	1.44194999678e-16	1.53250698286e-16	4.88829461984e-13	4.88829461984e-13	2.48838948828e-16	2.48838948828e-16
84	213730.896528	1821242.9843	1.45226650076e-16	1.5227126181e-16	1.45852794746e-12	1.45852794746e-12	2.49969376096e-16	2.49969376096e-16
85	2721271.59097	17909273.4145	1.49190963414e-16	1.59554072003e-16	7.63784376275e-12	7.63784376275e-12	2.58046643745e-16	2.58046643745e-16
86	6468528.69514	60517909.6665	1.51906411247e-16	1.66077109415e-16	1.20367377474e-10	1.20367377474e-10	2.60584911547e-16	2.60584911547e-16
87	11299622.9869	110310140.122	1.56383419216e-16	1.67810646634e-16	3.64567972534e-11	3.64567972534e-11	2.64160377955e-16	2.64160377955e-16
88	1002282.56272	5277172.69396	1.589736413e-16	1.74928031314e-16	6.38630290163e-12	6.38630290163e-12	2.5671233964e-16	2.5671233964e-16
89	656540.339394	3623818.03563	1.61940621075e-16	1.698844952e-16	4.4237024166e-12	4.4237024166e-12	2.6797489703e-16	2.6797489703e-16
90	63168051.5255	605554010.062	1.66577783037e-16	1.72078501068e-16	1.28649608579e-10	1.28649608579e-10	2.50588969962e-16	2.50588969962e-16
91	567452.266213	3729455.63376	1.70073847371e-16	1.76999859145e-16	3.14296309168e-12	3.14296309168e-12	2.48352905097e-16	2.48352905097e-16
92	6281769.42273	58620558.5871	1.73951250432e-16	1.87068535326e-16	4.41269504634e-11	4.41269504634e-11	2.56814296309e-16	2.56814296309e-16
93	18999137.9286	187782561.401	1.78801010962e-16	1.89632814526e-16	4.81999598382e-11	4.81999598382e-11	2.57616023257e-16	2.57616023257e-16
94	58065962.6655	580151978.41	1.81082084907e-16	1.93859972025e-16	1.35386785879e-10	1.35386785879e-10	2.60000539929e-16	2.60000539929e-16
95	31525077.0945	312448456.26	1.86897361937e-16	1.93307531579e-16	1.82012415706e-10	1.82012415706e-10	2.51060824182e-16	2.51060824182e-16
96	251025.817869	1718950.66455	1.91211771469e-16	2.01097118505e-16	7.55209344015e-13	7.55209344015e-13	2.50504869019e-16	2.50504869019e-16
97	501047.726565	3400426.60298	1.93890368708e-16	2.08878711584e-16	2.55891523313e-12	2.55891523313e-12	2.72525184888e-16	2.72525184888e-16
98	11372439.2833	108372605.676	1.97141140265e-16	2.08655034672e-16	2.99210502688e-11	2.99210502688e-11	2.70742349864e-16	2.70742349864e-16
99	8460569.84866	82394646.1546	2.01628522688e-16	2.12684493225e-16	7.43974785469e-11	7.43974785469e-11	2.58979964555e-16	2.58979964555e-16
100	717586.766063	4987835.81911	2.03194993869e-16	2.18525473592e-16	2.63557561102e-12	2.63557561102e-12	2.97155089204e-16	2.97155089204e-16
